volumeID,year,volume
3e7ad883-91a0-4cc5-bbb5-aa724f3a57ea,2020,1
1d47eaa7-cb07-4c48-a2b2-3c6654f928f8,2021,1
d0ee03da-8a22-461c-80fc-71bdd60fa0e4,2022,1
8edb0ac9-f557-4569-9b8b-ce0843185851,2023,1
2f40f244-1086-4eac-8b8b-bc0bdb9d0088,2023,2
b295a9cb-e1f6-492b-b8de-528f10edf11c,2020,1
20127ab8-23a6-4649-aae0-fc52d8d4f707,2021,1
3d442f75-b053-4bf5-9530-a151db382ad8,2021,2
e27f0efe-c044-453e-b1ba-7bf9d9b0420f,2022,1
11abd760-ba7c-450e-8458-fc3dfa29ba57,2023,1
84ef2516-b71c-4ffe-a1d2-e0e8c79bb90a,2020,1
fecd699e-7444-4c8b-9579-689b53f8b111,2020,2
3cad0563-a31f-46b7-82c6-18526e0a4d65,2021,1
8b64d180-63ea-4f0b-9124-2ed49e76a803,2022,1
5397d285-e7fc-44ab-9ae1-1d55386501f2,2023,1
a23365f7-00c2-4479-adab-486d5aa46dfd,2020,1
6aa3a3f3-5136-452c-b26a-df0dabea3b35,2020,2
0b53fbbc-f74f-4e52-ae26-21b8012d7f0f,2021,1
eb4b6f3f-7d35-4115-b2c4-a6ac20677095,2021,2
b0c5b497-77d5-4b39-b16b-b38fa0e765ea,2022,1
d3546665-c0b0-462c-825b-c7e4c5750d9f,2023,1
7b13f19e-e18c-4de5-a56f-cdcb67c3a478,2023,2
c2931e41-75c9-4c49-84bd-fe7d6b24b926,2020,1
e8aae34f-c523-4956-9988-5efded72c811,2021,1
5ad0fbf8-dc58-414c-a058-0af0f16fc513,2022,1
8d7257cf-f41c-488a-b1e0-9197a5e48610,2023,1
4ac5e665-5845-4b7c-b29c-d44e4fb7bf36,2020,1
c5fc5bf3-a3e1-49d6-95a0-bfa089b03f5b,2021,1
460d0b3c-670a-4114-b77e-5b7348a539cf,2021,2
9fe3d102-0561-426b-8055-2f7632b01735,2022,1
11870fa9-a422-4bd6-9b47-e46a4aede37a,2022,2
10cbec33-8dc3-431a-b4f3-e548f78c0bea,2023,1
e9b5052d-00f1-402b-857b-7f8a3a271c67,2020,1
3f99fa88-f2af-44c8-bb6e-e56e8560f6c9,2020,2
f3db6bf0-ead0-45c6-9747-218d69b0ecd5,2021,1
09e2798a-f25e-4726-b4ba-ffd047dc3255,2021,2
205f5306-ca35-4b31-b856-d1d96f3a1beb,2022,1
a53b8dea-9e6f-41a5-875e-cbdf140f86a5,2022,2
0f2f940a-bf69-4642-9d10-5dd621702dd3,2023,1
8015a4e9-7d6c-45b7-933e-a9f065caed3a,2023,2
b7fdfda8-a0d4-4ba8-be24-c39358dbbd6e,2020,1
9d9af64d-562c-49a4-be0d-cc14249cf21b,2021,1
fd299077-7e7c-4e7c-850d-d0b1853e7cb4,2021,2
61da07dc-f561-4ed1-a688-0ceb71b07fd1,2022,1
1c20e1d6-4c85-4adc-92b6-fd43fc3e4447,2022,2
56208d35-457e-4c33-aaf0-31fbfc8a9255,2023,1
a4e398da-6848-4495-9425-157ff189c704,2023,2
3c39bfea-5019-4b70-8b3c-a6fd5061947f,2020,1
3f7f188e-fb73-4db9-8cd9-3e8c02c07e22,2020,2
7629af11-798d-409f-a7a9-5ac4b997cc23,2021,1
670d377c-184b-4567-af48-5b6811ded38c,2021,2
2b94ff1e-e59b-4497-87f1-76a482e45556,2022,1
61c8d03e-3299-4415-800a-49d8eb425cca,2022,2
0a7e5d88-a4ce-48b8-abb2-607e8d86c6c5,2023,1
296ff9bf-ff80-4533-b857-62d7f98d0368,2020,1
d6676cc7-72c2-4047-8889-b622e24e8251,2020,2
37a0c881-7105-4b3b-aead-1b707130cfc8,2021,1
38f0d219-5677-49ed-958a-a8246478a338,2022,1
945edae1-8cc0-4c37-b595-1722e1bf6c1d,2023,1
c19d2b5b-fa71-42f3-b1a4-2077dec0bdcc,2023,2
39f28002-5dd3-42f0-b6bf-82eeaaee36ef,2020,1
49199f50-7c8c-4800-92e9-92aadd25e19b,2020,2
ca7feb72-f64a-4921-bbc3-d651f765873f,2021,1
68880d23-c821-4d07-b065-b4722c249dfb,2021,2
5ac02846-b2d1-4422-b172-d4ddfd9a3907,2022,1
d8f64b0c-3183-4231-a495-cc277f5c1c8c,2023,1
e4210e46-0b29-43b7-bede-c6d9c7e48181,2020,1
df020190-1d31-40cb-8b32-ba09290ea3d1,2021,1
ffa70f13-ac3a-4707-8033-d109da7904e5,2021,2
7ceb377b-a7e8-433f-855f-4768b3169ae6,2022,1
43ea629c-079a-4076-a9d7-48b1fbf222e2,2023,1
2ba0ad0e-7041-4706-81a1-617394eb5c9d,2020,1
cd6ccdeb-0bba-4b3e-9ef1-d5f6c390fcdc,2021,1
5b2324e7-53c5-4e00-baea-6d6a5c5e5965,2022,1
b0d4f9fe-9097-4740-8336-8a42d3567bf3,2023,1
a86ca5a3-39c1-4650-b57b-50bf4dd78b7f,2020,1
dfd18c7e-280f-4e47-ad8a-0f57c38f1a0b,2021,1
354f99f4-7fec-4776-af53-a4458f290ca7,2022,1
5084998f-e70f-4697-8d28-3b14fc986c4a,2023,1
c918b749-2a48-47d4-859c-ee4e240f6ac9,2020,1
42a30d3a-2c15-42d0-ade7-ea2e713a9867,2020,2
1f20fb0d-f935-46cf-bbf5-fddaaf66ea76,2021,1
0de0a97b-0e42-473c-bb77-94b30de32197,2022,1
a77863d3-f202-4b27-ad70-6050de7ef4d4,2023,1
9cbd805f-51f6-4526-b93c-f8254dc492d8,2020,1
302aafd6-8c9d-4f05-bf17-ebe22653deec,2020,2
ee6ef30d-7559-419c-b8ef-7735a699e39d,2021,1
daa73bf3-77cd-418f-9c15-814beb0f3afb,2021,2
29f64511-49ff-40ef-9ded-295883b7fee1,2022,1
0597f7d7-4644-414f-80c2-517cffb394ea,2023,1
